id;tower;_071_eqty_fta;_075_cash_a;_166_ebitda_int_exp;_167_eqty_gw_a;_168_b_loans_bonds_a;_172_eqty_gw_a_gw;_187_margin_yoy;_192_tpo_rev;_193_tro_rev;_209_ebtda_pv;_210_e_eqty;_211_e_a;_166_ebitda_int_exp_3;_027_st_l_ebitda_2;_161_rev_yoy_2;_187_margin_yoy_2;_187_margin_yoy_3;PD
10783;SK;1.248299;-0.020148;32.500000;0.423712;-0.043033;-0.199462;0.092640;0.160292;64.765768;-0.233694;0.175225;0.074245;0.079444;3.491639;0.166074629;0.192640489;-0.307422786;0.016966785
10784;SK;0.687120;0.686450;9.128832;0.292719;0.641260;0.291742;0.285297;1.508084;106.630126;-0.556903;0.354483;0.103764;0.552816;8.753359;0.235556399;0.385297227;-0.050685542;0.043968342
10785;SK;-0.029491;0.676363;68.230000;-0.028441;-0.943685;1.496039;0.500000;0.226618;68.780000;2.220698;1.262410;-0.035904;0.737717;33.870000;0.43;0.5;0.16879983;0.072108869
10786;SK;0.206494;0.673300;4.953947;0.200235;0.072299;0.638542;5.853659;5.752506;332.957625;-0.827260;0.002805;0.000562;0.637377;93.270000;0.43;5.753658537;7.236534328;0.21426272
10787;SK;0.193968;0.694310;3.942194;0.191855;0.363912;0.669965;1.581546;4.127043;64.595167;-4.002421;-0.008569;-0.001644;0.657869;7.239853;4.832584764;1.481545655;1.54345296;0.052148076
10788;SK;0.193968;0.694310;3.942194;0.191855;0.363912;0.669965;1.581546;4.127043;64.595167;-4.002421;-0.008569;-0.001644;0.657869;7.239853;4.832584764;1.481545655;1.54345296;0.052148076
10790;SK;2.472777;0.597456;46.467034;0.338416;-0.788629;0.120387;0.508270;-0.396090;43.011295;0.087924;0.762926;0.258186;-0.203452;1.658735;0.414726574;0.408270271;0.11319017;0.018536312
10791;SK;3.888526;0.558635;42.660262;0.340826;-0.689744;0.111347;0.080399;-0.193557;48.827359;0.322023;0.286216;0.097550;-0.126347;3.489278;0.033969088;0.019601476;-0.456998104;0.019020086
10792;SK;1.588624;0.567311;41.952724;0.129537;-0.580937;0.903648;0.203293;-0.847045;4.789868;0.284492;0.833454;0.107963;-0.112017;2.977753;0.056925822;0.103293348;-0.293226627;0.023085825
10794;SK;0.250401;0.071911;8.451138;0.118944;-0.131866;0.943369;0.012823;0.393723;79.653169;0.200037;0.046242;0.005500;0.566543;5.108115;0.092201196;0.087177418;-0.447964448;0.034569928
10795;SK;0.000760;0.668342;11.376495;0.000250;0.595169;1.388453;1.014150;0.919326;120.747218;-0.178310;1.293192;0.028425;0.507291;3.330250;0.104274514;0.914150065;0.787333132;0.064992272
10796;SK;0.033137;0.665425;8.932691;0.011352;0.798330;1.346823;0.077762;0.275709;95.614207;0.085028;0.969966;0.011011;0.556789;3.831084;0.144607627;0.17776175;-0.327250416;0.054979572
10797;SK;-0.069080;0.664056;11.240512;-0.015146;0.332039;1.446185;0.118324;0.948602;97.375150;0.188068;-0.210230;0.003184;0.510045;5.254591;0.156272576;0.018323725;-0.406458415;0.05701954
10798;SK;-0.325443;0.405225;7.013902;-0.046177;0.204531;1.562545;0.167489;1.219529;120.463378;0.271694;0.517538;-0.023898;0.595653;7.665747;0.27875851;0.267489219;-0.207678252;0.059804355
10799;SK;0.842551;-0.470081;4.801208;0.181994;-0.488161;0.706942;0.524170;1.410725;112.051921;0.419808;0.006724;0.001224;0.640470;17.717169;0.18263072;0.42416954;0.134377773;0.03411604
10800;SK;1.081610;0.527362;10.127711;0.217757;-0.405461;0.572835;0.044599;0.950343;93.937156;0.321131;0.097117;0.021148;0.532585;6.101553;0.283870468;0.144598639;-0.371444072;0.038350511
10801;SK;0.237421;0.460539;1.048254;0.057459;-0.087713;1.173927;0.076491;1.994149;134.132854;0.500830;0.034242;0.001968;0.716485;90.955156;0.061499083;0.023509079;-0.462205434;0.061678661
10802;SK;9.383494;-1.089921;112.487658;0.340067;-0.943685;0.114195;0.114417;0.055621;82.734740;0.344319;0.247278;0.084091;-1.540670;4.662360;0.01262209;0.014416513;-0.411665224;0.005017736
10803;SK;7.011890;-1.242401;161.572539;0.355752;-0.943685;0.055378;0.016967;0.111277;70.464205;0.289383;0.272030;0.096775;-2.534810;4.259680;0.141902538;0.08303347;-0.453486736;0.002755997
10804;SK;7.891759;-0.984530;161.572539;0.373989;-0.943685;-0.013008;0.155885;0.167515;98.961045;0.171422;0.293746;0.109858;-2.534810;3.654844;0.266808533;0.255884573;-0.223142776;0.003037933
10805;SK;0.536266;0.697170;6.459288;0.333828;1.255281;0.137588;0.056255;0.073019;24.930959;0.394491;0.014314;0.003627;0.606887;5.860532;0.117766233;0.043744978;-0.489172094;0.042458788
10806;SK;0.520964;0.613900;4.570991;0.224563;1.614045;0.547315;0.007753;0.118063;37.504936;0.431859;0.032241;0.007240;0.645133;6.771568;0.066981297;0.107752958;-0.420545176;0.051645784
10807;SK;0.412791;0.618456;3.687030;0.188583;1.811363;0.682235;0.001554;-0.021062;34.089260;0.453738;0.024830;0.004683;0.663038;7.883567;0.109123624;0.101554044;-0.428805942;0.055120731
10809;SK;0.361157;0.569789;3.091010;0.165493;1.635045;0.768819;0.041329;0.348501;34.647815;0.604887;-0.109194;-0.018071;0.675110;11.748882;0.121667846;0.14132926;-0.375800895;0.059339172
10811;SK;0.355614;0.649831;1.054168;0.141891;-0.687053;0.857321;0.019768;-0.541530;84.853414;-0.283509;0.084434;0.011980;0.716365;7.743549;0.00174268;0.08023181;-0.45722027;0.032541873
10812;SK;0.180947;0.396406;4.866607;0.118253;0.195140;0.945961;0.394493;-0.386502;63.977821;-0.288009;0.274474;0.032457;0.639146;5.616872;0.179510544;0.2944935;-0.038430453;0.036978735
10817;SK;0.208271;0.588585;6.802180;0.137561;-0.943685;0.873557;1.013061;0.724396;109.232497;-0.719983;0.442771;0.060908;0.599942;1.604260;0.40358351;0.913061059;0.785881906;0.039039957
10819;SK;2.110817;-0.246750;34.560135;0.107464;-0.943685;0.986419;0.861022;-0.985856;14.084818;0.585265;0.585249;0.062893;0.037717;1.839058;2.441077667;0.761022444;0.58327298;0.020974432
10820;SK;7.401439;-3.156581;161.572539;0.253733;-0.943685;0.437934;0.278786;-0.907713;0.000000;0.505508;0.629342;0.159685;-2.534810;0.631848;0.080758012;0.178785924;-0.192624095;0.001403313
10821;SK;3.100000;-0.141201;71.000000;0.190909;-0.943685;0.673512;3.150000;-0.804600;11.414419;0.533873;0.888889;0.169697;-0.700356;1.788732;4.832584764;3.05;3.633598623;0.021761269
10822;SK;3.889939;-2.705412;36.859796;0.158679;-0.105144;0.794370;0.493614;-0.614621;4.133329;0.537828;0.892746;0.141660;-0.008862;4.082200;0.312188112;0.393614458;0.093659615;0.008765846
10823;SK;0.206137;0.654725;161.572539;0.103339;-0.943685;1.001885;0.101635;5.752506;26.978017;0.004890;0.123612;0.012774;-2.534810;72.215268;0.230230719;0.201634893;-0.295436709;0.017679151
10827;SK;-0.128040;0.688007;-26.990290;-0.124053;-0.943685;1.854567;0.500000;5.752506;43.307865;2.220698;0.692008;-0.085845;0.737717;33.870000;0.43;0.5;0.16879983;0.172797511
